filename,compressed,uncompressed
JDK,72410410,72410410
libexec/bundletool-all.jar,30633323,32505571
_unpack/x86_64-linux/bin/dmengine,10045751,24968400
com/sun/*.*,8526502,21076482
clojure/*.*,6992019,15504882
lib/android.jar,10833398,14664759
com/ibm/*.*,6146730,13876950
com/dynamo/*.*,4289327,12408516
libexec/x86_64-linux/tint,3807869,12036104
libexec/x86_64-linux/glslang,3030104,11949752
editor/gui,5350464,11303606
libexec/x86_64-win32/dmengine.exe,3369765,9028096
libexec/x86_64-macos/dmengine,3861584,8862504
libexec/x86_64-macos/dmengine_release,3394507,8213872
libexec/x86_64-win32/dmengine_release.exe,2861132,8133120
libexec/arm64-macos/dmengine,3510346,7910448
javafx/*.*,3438482,7629541
libexec/x86_64-linux/aapt2,2777346,7620984
lib/x86_64-linux/libtexc_shared.so,3075616,7385360
lib/arm64-linux/libtexc_shared.so,3050833,7314584
libexec/arm64-macos/dmengine_release,3050377,7281736
lib/x86_64-win32/shaderc_shared.dll,1688651,7106048
libexec/x86_64-linux/gltf_validator,2624438,6718376
lib/x86_64-linux/libc++.so,1498484,6457600
org/eclipse/jgit/*.*,2849222,6440142
libexec/x86_64-linux/dmengine,2756706,5668496
com/jogamp/*.*,2060879,5301844
jogamp/*.*,1994042,5001762
libexec/x86_64-linux/dmengine_release,2288008,4994952
libexec/arm64-linux/dmengine,2500430,4983912
lib/x86_64-linux/libshaderc_shared.so,1685777,4861520
com/google/protobuf/*.*,1674093,4782227
libexec/x86_64-linux/spirv-opt,1772439,4698856
libexec/arm64-android/libdmengine.so,2375657,4696208
libexec/x86_64-linux/lipo,2544968,4519843
lib/arm64-linux/libshaderc_shared.so,1570898,4468536
org/apache/commons/*.*,1826544,4341676
libexec/arm64-linux/dmengine_release,2035400,4334672
lib/x86_64-win32/texc_shared.dll,1410221,4067840
libexec/arm64-android/libdmengine_release.so,1908841,4041568
libexec/x86_64-ios/dmengine,2057880,3978504
com/fasterxml/jackson/*.*,1401584,3932759
lib/x86_64-macos/libshaderc_shared.dylib,1126656,3581680
libexec/arm64-ios/dmengine,1853807,3524528
libexec/x86_64-ios/dmengine_release,1609179,3357624
cljfx/*.*,1576641,3282981
com/amazonaws/*.*,1271062,3207351
lib/arm64-macos/libshaderc_shared.dylib,1017541,3173928
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
editor/code/view,1447015,2950745
libexec/wasm_pthread-web/dmengine.wasm,1389219,2932591
libexec/wasm-web/dmengine.wasm,1385209,2916132
libexec/arm64-ios/dmengine_release,1416031,2916064
org/eclipse/jetty/*.*,1135632,2573055
editor/app_view,1276869,2570001
editor/particlefx,1183601,2518635
lib/x86_64-macos/libtexc_shared.dylib,1018916,2484192
org/apache/http/*.*,1036821,2397569
libexec/wasm_pthread-web/dmengine_release.wasm,973002,2353610
_unpack/x86_64-linux/bin/lsp/lua/bin/lua-language-server,906810,2346392
libexec/wasm-web/dmengine_release.wasm,968115,2339153
org/codehaus/jackson/*.*,857085,2288635
