symbol_group_name,vmsize,filesize
MVKImageViewPlane,2920,2920
MVKCmdBindVertexBuffers<>,2916,2916
MVKQueryPool,2887,2887
b2Fixture,2880,2880
MVKShaderModule,2866,2866
btGjkEpaSolver2,2844,2844
MVKQueuePresentSurfaceSubmission,2835,2835
mvk_smallvector_allocator<>,2828,2828
_dmParticleDDF_* (library),2824,2136
_fs_* (library),2812,2812
simple_json,2788,2788
MVKTimelineSemaphoreEmulated,2763,2763
__MergedGlobals,2752,1672
_strscan_* (library),2744,2744
MVKQueueCommandBufferSubmission,2742,2742
MVKBufferView,2737,2737
MVKImageView,2727,2727
btConvexConcaveCollisionAlgorithm,2716,2716
btGjkPairDetector,2660,2660
MVKComputeResourcesCommandEncoderState,2658,2658
_res_* (library),2644,2644
_floor1_* (library),2616,2616
b2WeldJoint,2612,2612
_bcwrite_* (library),2604,2604
MVKCmdCopyBuffer<>,2586,2586
MVKBuffer,2579,2579
MVKCmdDrawIndexed,2572,2572
_make_* (library),2560,2560
MVKCmdDraw,2525,2525
b2PulleyJoint,2480,2480
btBoxShape,2468,2468
btCapsuleShape,2456,2456
MVKShaderLibraryCache,2448,2448
_cploop_* (library),2436,2436
MVKTimestampQueryPool,2432,2432
btQuantizedBvh,2412,2412
FontLoadFromMemoryTTF(),2384,2384
__packetout,2376,2376
MVKCmdBeginRendering<>,2372,2372
__glfwCreateContextEGL,2360,2360
_LZ4_* (library),2316,2316
b2PolygonShape,2304,2304
dmSSLSocket,2256,2256
MVKImageMemoryBinding,2248,2248
_zip_* (library),2244,2244
SphereTriangleDetector,2232,2232
stbtt_GetGlyphShape(),2204,2204
btConvexHullShape,2196,2196
b2DistanceJoint,2192,2192
MVKWatermark,2175,2175
_jpeg_* (library),2171,2171
_io_* (library),2156,2156
_match,2148,2148
b2Contact,2132,1528
_s_* (library),2120,2120
MVKSampler,2105,2105
_dmInputDDF_* (library),2080,1248
b2RopeJoint,2056,2056
_char2escape,2048,2048
_vwin1024,2048,2048
_decode_* (library),2048,2048
btAlignedObjectArray<>,2044,2044
btCollisionDispatcher,2044,2044
dmArray<>,2028,2028
ReverseHashContainer,1948,1948
btSubsimplexConvexCast,1932,1932
MVKFramebuffer,1917,1917
_compute_* (library),1904,1904
_mapping_* (library),1892,1892
_cconv_* (library),1888,1888
btDefaultCollisionConfiguration,1876,1876
MVKImageDescriptor,1869,1869
dmResourceProviderArchive,1868,1740
_dmModelDDF_* (library),1868,1160
b2Distance(),1848,1848
_bcemit_* (library),1844,1844
btConvexShape,1828,1828
MVKOcclusionQueryPool,1824,1824
dmLoadQueue,1824,1824
MVKCmdPushConstants<>,1821,1821
_buffer_* (library),1816,1816
MVKDepthStencilCommandEncoderState,1809,1809
btConvexTriangleCallback,1792,1792
b2BlockAllocator,1788,1140
mvkCmdBeginRenderPass(),1760,1760
MVKMTLBufferAllocationPool,1749,1749
MVKCmdExecuteCommands<>,1741,1741
MVKDXTnCodec,1735,1735
MVKMetalCompiler,1731,1731
MVKMTLBufferAllocator,1720,1720
__glfwPollMonitorsCocoa,1708,1708
basisu,1701,1701
btContinuousConvexCollision,1696,1696
btCompoundLeafCallback,1684,1684
_emit_* (library),1660,1660
MVKCmdWaitEvents<>,1658,1658
_global_* (library),1648,1648
b2Simplex,1640,1640
btPersistentManifold,1632,1632
btTriangleShape,1624,1624
_dmHttpDDF_* (library),1620,1256
__glfwInitEGL,1596,1596
b2FrictionJoint,1592,1592
b2MouseJoint,1588,1588
_resample_* (library),1584,1584
MVKCmdBindDescriptorSetsDynamic<>,1576,1576
MVKSurface,1569,1569
__glfwCreateWindowCocoa,1544,1544
_cpcparser,1524,1524
MVKRenderingAttachmentIterator,1505,1505
_g_* (library),1498,8
__glfwInitCocoa,1496,1496
_glfwSetInputMode,1484,1484
dmIntersection,1476,1476
_vkspreflection_* (library),1472,1472
__glfwRefreshContextAttribs,1468,1468
_cff_* (library),1444,1444
btHashMap<>,1436,1436
MVKEventEmulated,1431,1431
_dmLiveUpdateDDF_* (library),1412,984
MVKCmdPushDescriptorSet,1394,1394
MVKCmdSetScissor<>,1391,1391
MVKTexelBufferDescriptor,1391,1391
_dmSystemDDF_* (library),1384,600
_narrow_* (library),1380,1380
MVKBufferDescriptor,1362,1362
__glfwDefaultMappings,1352,1352
btTransformUtil,1348,1348
btConvexInternalShape,1336,1336
_aa_* (library),1316,1316
MVKInlineUniformBlockDescriptor,1314,1314
_fetch_* (library),1312,1312
_auxiliar_* (library),1308,1308
MVKPushConstantsCommandEncoderState,1302,1302
_AMD_* (library),1300,0
getGlobalMVKConfig(),1296,1296
dmResourceProvider,1296,1296
dmBlockAllocator,1292,1292
_matchCallback,1280,1280
btPolyhedralConvexShape,1276,1276
MVKBaseObject,1274,1274
btBvhTriangleMeshShape,1272,1272
MVKSemaphoreEmulated,1263,1263
dmZlib,1244,1244
b2CollidePolygons(),1240,1240
b2BroadPhase,1240,1240
MVKUnsupportedQueryPool,1233,1233
MVKQueueSubmission,1225,1225
dmVMath,1200,1200
MVKTimelineSemaphoreMTLEvent,1199,1199
b2TimeOfImpact(),1196,1196
_luaJIT_* (library),1192,1192
_get_* (library),1188,1188
btPolyhedralConvexAabbCachingShape,1180,1180
_glfwWindowHint,1176,1176
-[GLFWApplicationDelegate applicationWillFinishLaunching:],1172,1172
_gola_* (library),1172,1172
b2ContactManager,1172,1172
_ffi_* (library),1172,1172
_processPerformanceStats,1152,0
_spvBinaryToText,1148,1148
_JobSystemUpdate,1144,1144
btPerturbedContactResult,1136,1136
_oggpack_* (library),1132,1132
btManifoldResult,1128,1128
MVKWatermarkRandom,1117,1117
_dmGamesysDDF_* (library),1116,736
_debug_* (library),1108,1108
MVKFence,1101,1101
MVKDescriptorUpdateTemplate,1090,1090
btSphereSphereCollisionAlgorithm,1088,1088
dmExtension,1052,1052
mvkVkResultName(),1048,1048
__glfwCreateContextNSGL,1040,1040
btCollisionObject,1032,1032
_INVSQ_* (library),1032,1032
MVKBitArray,1028,1028
_FLOOR_* (library),1024,1024
_crc_* (library),1024,1024
_vkCmdBindDescriptorSets,1024,1024
_vwin512,1024,1024
_OUTLINED_* (library),1024,1024
btSphereTriangleCollisionAlgorithm,1008,1008
MVKCmdSetViewport<>,1001,1001
__glfwSetWindowMonitorCocoa,1000,1000
dmImage,996,996
_block_* (library),992,992
btBoxBoxCollisionAlgorithm,976,976
MVKPipeline,974,974
Layout<>(),960,960
kMVKMTLDepthStencilDescriptorDataDefault,960,0
_idct_* (library),956,956
dmMutex,948,948
dmResourceProviderFile,944,816
btCollisionShape,940,940
DebugDrawcallback,932,932
_ndigits_* (library),931,931
__glfwInitJoysticksCocoa,928,928
_oggbyte_* (library),928,928
MVKCombinedImageSamplerDescriptor,924,924
_timeout_* (library),924,924
_vkCmdCopyBufferToImage,916,916
_vkCmdCopyImageToBuffer,916,916
btGjkConvexCast,916,916
MVKLayerManager,914,914
MVKCmdUpdateBuffer,913,913
_ctype_* (library),912,912
MVKEventNative,909,909
dmPath,896,896
MVKSamplerDescriptorMixin,892,892
MVKOcclusionQueryCommandEncoderState,887,887
TextLayoutLegacyCreate(),880,880
_auxsort,880,880
_csctx_* (library),876,876
_floor0_* (library),868,868
_tcp_* (library),864,864
_dmPropertiesDDF_* (library),844,672
_fwd_* (library),840,840
mvkUpdateDescriptorSets(),840,840
_unaccessed_* (library),832,832
btSphereShape,824,824
_LogInternal,820,820
_dmStructDDF_* (library),812,560
_propagatemark,808,808
_vkCmdCopyBufferToImage2,808,808
_vkCmdCopyImageToBuffer2,808,808
MVKSemaphoreMTLEvent,795,795
MVKSemaphoreImpl,791,791
MVKQueueFamily,789,789
_vkCmdBindVertexBuffers2,788,788
_vkCmdPipelineBarrier,784,784
_MVK_* (library),780,0
__glfwInputError,776,776
mvkAdjustFormatVectorToSize(),772,772
btTriangleRaycastCallback,772,772
_dec64table,760,760
b2Joint,756,756
MVKShaderLibraryCompiler,755,755
_vkCmdBeginRendering,752,752
_vkCmdBindVertexBuffers,752,752
_vkCmdClearAttachments,752,752
MVKStagedDescriptorBindingUse,752,752
_fpconv_* (library),752,752
_bcread_* (library),748,748
CProfileManager,736,664
_release_* (library),732,732
_vkCmdPushConstants,732,732
cullPoints2(),732,732
__glfwInitVulkan,724,724
MVKDeferredOperation,719,719
GetGlyphIndexTTF(),716,716
b2EdgeShape,716,716
_findValidMapping,712,712
_tremolo_* (library),712,712
_udp_* (library),712,712
_dmLuaDDF_* (library),712,528
_copy_* (library),708,708
dmURI,704,704
_vk_* (library),704,704
SelectAndPopJob(),700,700
MVKPipelineStatisticsQueryPool,697,697
Vectormath,692,692
btGhostObject,692,692
_dmHashFinal64,688,688
_ll_* (library),688,688
_strbuf_* (library),688,688
insertleaf(),684,684
dmCrypt,684,684
MVKGPUCounterQueryPool,681,681
_dmHashFinal32,680,680
b2WorldManifold,676,676
MVKMTLFunction,672,672
MVKCmdClearMultiAttachments<>,672,672
MVKCmdFillBuffer,671,671
_mcode_* (library),660,660
dmThread,656,656
MVKCmdClearSingleAttachment<>,656,656
b2CircleShape,656,656
_removeCallback,652,652
_dmBufferDDF_* (library),648,480
MVKPeerSwapchainImage,648,648
b2CollidePolygonAndCircle(),636,636
MVKMTLDeviceCapabilities,632,632
_ZNKSt3_* (library),632,632
_vkCmdPipelineBarrier2,628,628
_zbuild_* (library),628,628
_vkCmdWaitEvents,624,624
MVKSwapchainImage,624,624
MVKGPUCaptureScope,623,623
b2CollideEdgeAndCircle(),620,620
btUnionFind,620,620
MVKCmdClearDepthStencilImage<>,618,618
MVKFunctionSpecializer,613,613
__glfwChooseFBConfig,612,612
b2PositionSolverManifold,612,612
_dmHashBuffer32,608,608
MVKPrivateDataSlot,605,605
btMatrix3x3,604,604
MVKCmdClearColorImage<>,604,604
_vkCmdBlitImage,600,600
MVKComputePipelineCompiler,597,597
__glfwIsValidContextConfig,596,596
_dmHashUpdateBuffer64,596,596
_str_* (library),596,596
MVKRenderPipelineCompiler,596,596
dmConditionVariable,596,596
btClosestNotMeConvexResultCallback,592,592
__glfwPollJoystickCocoa,588,588
_vkCmdResolveImage,588,588
__glfwGetGammaRampNull,584,584
_vkCmdCopyImage,584,584
_dmHashUpdateBuffer32,580,580
b2StackAllocator,580,580
_glfwGetWindowAttrib,576,576
_vkCmdClearColorImage,572,572
_vkCmdClearDepthStencilImage,572,572
btTriangleConvexcastCallback,572,572
MVKCmdPushDescriptorSetWithTemplate,570,570
dmFileDescriptor,564,564
MVKSingleValueCommand<>,563,563
__glfwCreateContextOSMesa,560,560
_vkGetVersionStringsMVK,560,560
_glfw_* (library),560,560
MVKVulkanAPIObject,557,557
_assign_* (library),552,552
_vkCmdCopyBuffer,552,552
__glfwGetGammaRampCocoa,548,548
btBoxBoxDetector,548,548
MVKSamplerYcbcrConversion,544,544
b2Mat33,544,544
_spvBinaryParse,536,536
_vkCmdSetScissor,532,532
_vkCmdWaitEvents2,532,532
ResourceChunkCachePut(),528,528
_vkCmdSetScissorWithCount,528,528
_tab_* (library),524,524
_check_* (library),524,524
_COS_* (library),520,520
_ccall_* (library),520,520
_vkCmdSetViewport,520,520
dmTrigLookup,520,520
_vkCmdSetViewportWithCount,516,516
b2FindMaxSeparation(),516,516
_bisect_* (library),512,512
_vwin256,512,512
__glfwSetGammaRampCocoa,508,508
_vkCmdBlitImage2,504,504
_vkCmdCopyBuffer2,504,504
_vkCmdResolveImage2,504,504
__glfwInputWindowFocus,500,500
_fscope_* (library),500,500
_vkCmdCopyImage2,500,500
__glfwSetVideoModeCocoa,496,496
b2GridAndPolygonContact,496,496
_de_* (library),492,492
b2GridAndCircleContact,492,492
_JobSystemCreate,488,488
_vkCmdExecuteCommands,488,488
MVKSemaphoreSingleQueue,486,486
__glfwCreateWindowNull,484,484
_dict_* (library),484,484
kMVKMTLStencilDescriptorDataDefault,480,0
MVKSamplerDescriptor,479,479
_glfwCreateWindow,476,476
__glfwAllocJoystick,472,472
