symbol_group_name,vmsize,filesize
secp384r1_T,3096,3132
btHinge2Constraint,3093,3364
_set_* (library),3091,3917
btUniversalConstraint,3089,3374
FindPolynomialRootPair(),3080,3141
btTriangleMeshShape,3065,4540
dmSSLSocket,3055,3495
_pcm_* (library),3035,3185
_glfwJoy,3008,33
_glfwAndroidHandleInput,2974,3022
btCollisionObject,2958,3948
char2escape,2912,2948
btGeometryUtil,2893,3123
b2Contact,2883,2784
_flush_* (library),2880,2972
_mod_* (library),2865,2976
FontPackGlyphVertices(),2860,2960
btGImpactShapeInterface,2821,4101
dmResourceArchive,2798,3525
btCompoundCompoundLeafCallback,2787,2998
_page_* (library),2774,3177
btSubsimplexConvexCast,2764,3197
_packetout,2763,2798
_x520_* (library),2760,2803
dmOpaqueHandleContainer<>,2753,3535
_ccall_* (library),2747,2830
ApplyStyleNode(),2735,2825
CreateEffect(),2730,2814
btCompoundLeafCallback,2715,2992
b2Distance(),2707,2801
_buf_* (library),2703,3335
_Material_* (library),2684,3354
btQuantizedBvhTree,2683,3053
btCapsuleShape,2677,3665
btManifoldResult,2653,3822
dmResourceProviderArchive,2653,3599
FontGetLayoutVertexMetrics(),2640,2747
_make_* (library),2634,2756
_file_* (library),2542,2808
_FontMap_* (library),2524,4147
dmIntersection,2521,2971
res_inverse,2492,2528
TextLayoutInitializeDecorationGeometry(),2476,2556
b2ChainShape,2464,3446
FindBernsteinRoots(),2430,2492
_jpeg_* (library),2422,2657
btConvexInternalShape,2419,3491
_str_* (library),2415,2717
_x509_* (library),2405,2502
glfwAndroidDiscoverJoysticks,2382,2435
_ccallback_* (library),2369,2590
btTypedConstraint,2368,2654
btGjkEpaSolver2,2362,2605
btPrimitiveTriangle,2362,2635
_app_* (library),2360,2649
_vm_* (library),2358,4124
gridRaycast<>(),2346,2606
_cdata_* (library),2344,2651
btDefaultCollisionConfiguration,2339,3178
btVec3PointTriDist2(),2335,2407
[section .rela.dyn],2328,2328
[section .gnu.version],2306,2306
_resample_* (library),2304,2554
_stream_* (library),2298,2822
b2Simplex,2259,2533
_entry_* (library),2258,2656
b2BlockAllocator,2255,2129
_next_* (library),2204,2291
btTransformUtil,2200,2402
btPolyhedralConvexAabbCachingShape,2192,2767
_scalar_* (library),2188,2551
btConvexTriangleCallback,2167,2631
_dispatch_* (library),2166,2375
_ct_* (library),2165,2248
b2TimeOfImpact(),2135,2206
_idct_* (library),2105,2155
_cipher_* (library),2099,2204
glfwAndroidUpdateJoystick,2098,2148
_vorbis_* (library),2098,2234
btTriangleShapeEx,2081,2266
fs_finish,2077,2111
vwin1024,2048,2081
b2CollidePolygons(),2047,2145
gcm_mask,2029,2062
JNIAndroidSetCommandLine,2024,2073
_sig_* (library),2015,2097
_FontDesc_* (library),1990,3242
dmZip,1982,3185
_compressHC_* (library),1974,2309
dmResourceProvider,1960,3294
_global_* (library),1951,2183
_strscan_* (library),1938,2059
_lsp_* (library),1936,1980
_raw_* (library),1936,2099
serialize_put,1932,1970
btPerturbedContactResult,1904,2105
dmHashFinal64,1882,1920
_double_* (library),1877,1959
dmHashFinal32,1862,1900
SelectCmap(),1843,1900
glfwOpenWindow,1831,1870
dmFileDescriptor,1816,2299
btBU_Simplex1to4,1811,2681
_find_* (library),1791,1971
btDoSimplex3(),1781,1845
dmBlockAllocator,1775,2051
btSphereSphereCollisionAlgorithm,1774,3113
RefreshDecorations(),1771,1832
dmSysPosix,1753,2589
_com_* (library),1741,2484
_Matrix4_* (library),1736,2695
btTriangleIndexVertexArray,1736,2976
JobSystemUpdate,1733,1821
_calc_* (library),1697,2007
dmImage,1680,1927
_TextureImage_* (library),1676,2249
_VertexAttribute_* (library),1670,2778
btSphereShape,1666,2376
b2ContactManager,1662,2009
btSphereTriangleCollisionAlgorithm,1659,3024
_TextureSet_* (library),1641,1994
_bcread_* (library),1639,1679
serialize_get,1635,1673
_fetch_* (library),1631,1720
_write_* (library),1626,1774
[section .bss],1621,0
btAABB,1612,1709
b2Joint,1610,2015
_Mesh_* (library),1591,1834
snprintf(),1587,1819
_gc_* (library),1585,1988
btBoxBoxCollisionAlgorithm,1576,2843
dmVMath,1574,1704
dmExtension,1570,2167
[section .data],1569,1569
dmZlib,1563,1700
secp256r1_T,1560,1596
_loadf_* (library),1554,1625
_ov_* (library),1551,1619
_LOOKUP_* (library),1548,1666
_LabelDesc_* (library),1544,2228
strscan_dec,1535,1571
dmHashUpdateBuffer64,1528,1573
bcwrite_proto,1527,1565
_compute_* (library),1520,1662
_CollisionObjectDesc_* (library),1490,2448
tcp_methods,1488,1524
_TileSet_* (library),1487,2394
Layout<>(),1484,1555
expr_table,1475,1510
_CollisionShape_* (library),1470,1982
ResolveGlyphLayerRenderData(),1438,1579
DebugDrawcallback,1432,1959
tremolo_mergesort,1424,1466
btNullPairCache,1422,3089
TextLayoutAdoptResolvedMarkup(),1412,1522
_use_* (library),1412,1452
btGjkConvexCast,1412,1810
b2BroadPhase,1411,1987
cpcparser,1399,1433
_time_* (library),1392,1546
Vectormath,1391,1520
dmHashUpdateBuffer32,1390,1435
btCollisionShape,1386,2052
FontOutlineMakeYMonotonic(),1384,1452
_clib_* (library),1381,1574
_CompiledStyle_* (library),1380,1731
gc_onestep,1343,1378
btTriangleRaycastCallback,1342,1617
_initialize_* (library),1341,1388
dmMutex,1334,1660
LogInternal,1331,1367
_add_* (library),1322,1396
_name_* (library),1322,1405
b2EdgeShape,1318,1920
_func_* (library),1318,1596
optset,1312,1367
dmCrypt,1309,1487
addInputEvents,1286,1325
global_select,1274,1312
SegmentsIntersect(),1269,1338
_lex_* (library),1267,1534
_normalize_* (library),1258,1389
_JNIEnv,1246,1793
_SpriteDesc_* (library),1237,1887
_rsassa_* (library),1231,1341
_RenderTargetDesc_* (library),1215,1965
dmResourceProviderFile,1206,1754
func,1200,1373
b2CircleShape,1198,1758
_luaJIT_* (library),1189,1432
btGhostObject,1185,1676
_plane_* (library),1183,1347
_compressHC2_* (library),1177,1461
_Model_* (library),1175,1709
_buffer_* (library),1174,1342
_ModelDesc_* (library),1170,1896
udp_methods,1168,1204
dmHashClone64,1160,1198
dmHashClone32,1158,1196
mapping_inverse,1154,1194
ciphersuite_definitions,1152,1200
_ContactPointResponse_* (library),1152,1297
_obj_* (library),1138,1291
dmHashReverseErase64,1136,1181
btTetrahedronShapeEx,1130,1235
_PropertyDeclarations_* (library),1130,1368
dmConditionVariable,1129,1526
InitCFF2Font(),1126,1172
_aes_* (library),1121,1323
IsBoundaryPoint(),1116,1195
b2CollideEdgeAndCircle(),1113,1227
dmHashReverseErase32,1108,1153
glfwDisable,1108,1144
dmPath,1107,1261
FontTrueTypeCreate(),1103,1155
FontGenerateGlyph(),1099,1185
_Unwind_* (library),1095,1527
_ssl_* (library),1081,1295
PushText(),1079,1146
_serialize_* (library),1079,1350
TextLayoutCompileStyleFragment(),1075,1220
b2Mat33,1071,1294
_fromdB_* (library),1068,1112
tokennames,1064,1099
match,1063,1093
_except_* (library),1060,1060
crc_lookup,1059,1094
_RenderPrototypeDesc_* (library),1042,1964
dmThread,1041,1359
_substruct_* (library),1041,1130
dmHashReverse64Alloc(),1040,1106
_unroll_* (library),1034,1074
InitCFF1Font(),1026,1072
dmHashReverse32Alloc(),1024,1090
_md_* (library),1024,1083
vwin512,1024,1056
FT0,1024,28
FT1,1024,28
FT2,1024,28
FT3,1024,28
RT0,1024,28
RT1,1024,28
RT2,1024,28
RT3,1024,28
cullPoints2(),1023,1070
dmAndroid,1020,1500
TextLayoutGetObjectPosition(),1010,1107
TextLayoutInitializeObjectStyles(),1010,1084
_SpriteGeometry_* (library),999,1356
b2WorldManifold,997,1089
b2PositionSolverManifold,992,1108
_Property_* (library),992,1279
dmTransform,987,1138
FontGetGlyphTTF(),985,1084
_ecp_* (library),980,1114
ResourceChunkCachePut(),971,1065
auxsort,971,1003
_Modifier_* (library),970,1376
global_data,968,60
dmHashBuffer32,967,1006
_comment_* (library),965,1150
btTriangleConvexcastCallback,962,1272
TextLayoutFinalizeLineBaselines(),960,1054
dmGameSystemDDF,960,3278
dmHashReverse64,940,980
_prf_* (library),940,1058
Blend(),931,986
b2StackAllocator,930,1241
btUnionFind,928,1213
_gl_* (library),925,1151
_zbuild_* (library),912,983
_TextureSetAnimation_* (library),910,1463
_verify_* (library),910,1033
JobSystemSetParent,909,952
b2GridAndPolygonContact,909,1302
dmHashReverse32,906,946
AddLayoutStyle(),904,981
_EmbeddedInstanceDesc_* (library),899,1367
_InstanceDesc_* (library),899,1324
btBridgedManifoldResult,899,1097
K,896,946
_ccm_* (library),896,986
btTransform,895,1085
floor1_inverse1,894,934
dmHashInit32,894,931
_sign_* (library),893,1023
_unused_* (library),892,940
_HttpResponse_* (library),892,1142
dmHashInit64,891,928
_vmeta_* (library),890,1845
btGjkEpaPenetrationDepthSolver,888,1183
