VERSION,arm64-darwin,armv7-android,armv7-darwin,darwin,js-web,wasm-web,linux,win32,x86_64-darwin,x86_64-linux,armv7-android,arm64-android
1.2.94,4448576,10371218,4051664,5099452,5366001,0,17476304,4239872,5075668,24206229,10371026,0
1.2.95,4448576,10371215,4051664,5098828,5366006,0,17476304,4239872,5077364,24206229,10371041,0
1.2.96,4448576,10371230,4051672,5099880,5365603,0,17481550,4658176,5075996,24206223,10371020,0
1.2.97,4510716,10500039,4112428,5174380,5436716,0,17755701,4699648,5164308,24533402,10500031,0
1.2.98,4511032,10502025,4112724,5175772,5438159,0,17761616,4700672,5163844,24541721,10501600,0
1.2.99,4544112,10532027,4145784,5208664,5532180,0,17794476,4733952,5197956,24580405,10531884,0
1.2.100,4564716,10550800,4149504,5220412,5556516,0,17838351,4746752,5204832,24631698,10550346,0
1.2.101,4565888,10556431,4150608,5225628,5559629,0,17844978,4749312,5207520,24645313,10556525,0
1.2.102,4569968,10550295,4170828,5232276,5565303,0,17840169,4741120,5224756,24655149,10550272,0
1.2.103,4570044,10556063,4170868,5238296,5567155,0,17856543,4742144,5223084,24675811,10556067,0
1.2.104,4569040,10552320,4169432,5237248,5563691,0,17830010,4743168,5226140,24618246,10552194,0
1.2.105,4573120,10565873,4173112,5245032,5571977,0,17861003,4747264,5233228,24655184,10565445,0
1.2.106,4573076,10573081,4172964,5248228,5572487,0,17877036,4751872,5236948,24682698,10572848,0
1.2.107,4596800,10602255,4180028,5267740,5587197,0,17949257,4764672,5261332,24768311,10602047,0
1.2.108,4586104,10606615,4217116,5168172,5589043,0,17953597,4766720,5241968,24774857,10605946,0
1.2.109,4593516,10643796,4240648,5192728,5621526,0,18048218,4785664,5267152,24909393,10643797,0
1.2.110,4593668,10641698,4240744,5192344,5618984,0,18026881,4784640,5270856,24907237,10641895,0
1.2.111,4593656,10641304,4240772,5196648,5620874,0,18026968,4783616,5271040,24903632,10640967,0
1.2.112,4594344,10645267,4241376,5197264,5624559,0,18024993,4785664,5271744,24920076,10645001,0
1.2.113,4594348,10653588,4257764,5205460,5655014,0,18033262,4795392,5279936,24927970,10653214,0
1.2.114,4594536,10656129,4257936,5206092,5655991,0,19373644,4850176,5284744,24936543,10655417,0
1.2.115,4639340,10713063,4269040,5238044,5734014,0,19432188,5090304,5643964,24758200,10712330,0
1.2.116,4639764,10717082,4269420,5238584,5737247,0,19440944,5091328,5644564,24762280,10716746,0
1.2.117,4397832,10436689,4012464,4985404,5016012,0,18958508,4809216,5389228,24203792,10721035,0
1.2.118,4400056,10446556,4014540,4991816,5022263,0,18979516,4813312,5391788,24229184,10730716,0
1.2.119,4407468,10451192,4021220,4998004,5039179,0,19013148,4823552,5406820,24273768,10734190,0
1.2.120,4431516,10481003,4061388,5032676,5100417,0,19041372,4862464,5447872,24345856,10754899,0
1.2.121,4431696,10480499,4061536,5030548,5090477,0,19056208,4859392,5444056,24349448,10754481,0
1.2.122,4431828,10481112,4061648,5030656,5091861,0,19058300,4860416,5444232,24353784,10756223,0
1.2.123,4414964,10486302,4061636,5067396,5092579,0,19065300,4860928,5439536,24360272,10759587,0
1.2.124,4415324,10490976,4061952,5072000,5095949,0,19068528,4861952,5440104,24363304,10764889,0
1.2.125,4411860,10491277,4060260,5072492,5096742,0,19070004,4862464,5436752,24364456,10766327,0
1.2.126,4419880,10503991,4068712,5090848,5099803,0,19117476,4866048,5456224,24413928,10778423,0
1.2.127,4374464,10494029,4037964,5053432,4969919,0,19065428,4818432,5415176,24350904,10824655,0
1.2.128,4396052,10504754,4040536,5064460,4977067,0,19087296,4825600,5421416,24378184,10836056,0
1.2.129,4398216,10850193,4044760,5071856,4983368,0,19115904,4831232,5433344,24412288,11186862,0
1.2.130,4401840,10876136,4049572,5085572,5000582,0,19169428,4839424,5447528,24485440,11212621,0
