VERSION,arm64-ios,arm64-android,armv7-android,x86_64-macos,js-web,wasm-web,x86_64-linux,x86-win32,x86_64-win32,arm64-macos
1.2.88,0,0,0,0,0,0,0,0,0,0
1.2.89,0,0,0,0,0,0,0,0,0,0
1.2.90,0,0,0,0,0,0,0,0,0,0
1.2.91,0,0,0,0,0,0,0,0,0,0
1.2.92,0,0,0,0,0,0,0,0,0,0
1.2.93,0,0,0,0,0,0,0,0,0,0
1.2.94,0,0,0,0,0,0,0,0,0,0
1.2.95,0,0,0,0,0,0,0,0,0,0
1.2.96,0,0,0,0,0,0,0,0,0,0
1.2.97,0,0,0,0,0,0,0,0,0,0
1.2.98,0,0,0,0,0,0,0,0,0,0
1.2.99,0,0,0,0,0,0,0,0,0,0
1.2.100,0,0,0,0,0,0,0,0,0,0
1.2.101,0,0,0,0,0,0,0,0,0,0
1.2.102,0,0,0,0,0,0,0,0,0,0
1.2.103,0,0,0,0,0,0,0,0,0,0
1.2.104,0,0,0,0,0,0,0,0,0,0
1.2.105,0,0,0,0,0,0,0,0,0,0
1.2.106,0,0,0,0,0,0,0,0,0,0
1.2.107,0,0,0,0,0,0,0,0,0,0
1.2.108,0,0,0,0,0,0,0,0,0,0
1.2.109,0,0,0,0,0,0,0,0,0,0
1.2.110,0,0,0,0,0,0,0,0,0,0
1.2.111,0,0,0,0,0,0,0,0,0,0
1.2.112,0,0,0,0,0,0,0,0,0,0
1.2.113,0,0,0,0,0,0,0,0,0,0
1.2.114,0,0,0,0,0,0,0,0,0,0
1.2.115,0,0,0,0,0,0,0,0,0,0
1.2.116,0,0,0,0,0,0,0,0,0,0
1.2.117,0,0,0,0,0,0,0,0,0,0
1.2.118,0,0,0,0,0,0,0,0,0,0
1.2.119,0,0,0,0,0,0,0,0,0,0
1.2.120,0,0,0,0,0,0,0,0,0,0
1.2.121,0,0,0,0,0,0,0,0,0,0
1.2.122,0,0,0,0,0,0,0,0,0,0
1.2.123,0,0,0,0,0,0,0,0,0,0
1.2.124,0,0,0,0,0,0,0,0,0,0
1.2.125,0,0,0,0,0,0,0,0,0,0
1.2.126,0,0,0,0,0,0,0,0,0,0
1.2.127,0,0,0,0,0,0,0,0,0,0
1.2.128,0,0,0,0,0,0,0,0,0,0
1.2.129,0,0,0,0,0,0,0,0,0,0
1.2.130,0,0,0,0,0,0,0,0,0,0
1.2.131,0,0,0,0,0,0,0,0,0,0
1.2.132,0,0,0,0,0,0,0,0,0,0
1.2.133,0,0,0,0,0,0,0,0,0,0
1.2.134,0,0,0,0,0,0,0,0,0,0
1.2.135,0,0,0,0,0,0,0,0,0,0
1.2.136,0,0,0,0,0,0,0,0,0,0
1.2.137,0,0,0,0,0,0,0,0,0,0
1.2.138,0,0,0,0,0,0,0,0,0,0
1.2.139,0,0,0,0,0,0,0,0,0,0
1.2.140,0,0,0,0,0,0,0,0,0,0
1.2.141,0,0,0,0,0,0,0,0,0,0
1.2.142,0,0,0,0,0,0,0,0,0,0
1.2.143,0,0,0,0,0,0,0,0,0,0
1.2.144,0,0,0,0,0,0,0,0,0,0
1.2.145,0,0,0,0,0,0,0,0,0,0
1.2.146,0,0,0,0,0,0,0,0,0,0
1.2.147,0,0,0,0,0,0,0,0,0,0
1.2.148,0,0,0,0,0,0,0,0,0,0
1.2.149,0,0,0,0,0,0,0,0,0,0
1.2.150,0,0,0,0,0,0,0,0,0,0
1.2.151,0,0,0,0,0,0,0,0,0,0
1.2.152,0,0,0,0,0,0,0,0,0,0
1.2.153,0,0,0,0,0,0,0,0,0,0
1.2.154,0,0,0,0,0,0,0,0,0,0
1.2.155,0,0,0,0,0,0,0,0,0,0
1.2.156,0,0,0,0,0,0,0,0,0,0
1.2.157,0,0,0,0,0,0,0,0,0,0
1.2.158,0,0,0,0,0,0,0,0,0,0
1.2.159,0,0,0,0,0,0,0,0,0,0
1.2.160,0,0,0,0,0,0,0,0,0,0
1.2.161,0,0,0,0,0,0,0,0,0,0
1.2.162,0,0,0,0,0,0,0,0,0,0
1.2.163,0,0,0,0,0,0,0,0,0,0
1.2.164,0,0,0,0,0,0,0,0,0,0
1.2.165,0,0,0,0,0,0,0,0,0,0
1.2.166,0,0,0,4903042,2135157,2135156,2279276,2278882,2640013,0
1.2.167,0,0,0,4903195,2135613,2135614,2279761,2279380,2640468,0
1.2.168,0,0,0,4903229,2136856,2136856,2280112,2279798,2640920,0
1.2.169,0,0,0,4953181,2168338,2168338,2297914,2280313,2640715,0
1.2.170,0,0,0,4867450,2487049,2487048,2267170,2394652,2779963,0
1.2.171,0,0,0,4867450,2487049,2487048,2267170,2394652,2779963,0
1.2.172,0,0,0,4855284,2488697,2488697,2218831,2395577,2781188,0
1.2.173,0,1672536,1615194,3976115,2495531,2495532,1841827,2198735,2562808,0
1.2.174,0,1672529,1615185,4000635,2495531,2495530,1841763,2198784,2562755,0
1.2.175,0,1713489,1660240,4099506,2545905,2545905,1884656,2239733,2610053,0
1.2.176,0,1713496,1660241,4099498,2548117,2548117,1885522,2240821,2612642,0
1.2.177,0,1717591,1660246,4099498,2548392,2548391,1885603,2241100,2612616,0
1.2.178,0,1717591,1660246,4099498,2548392,2548391,1885603,2241100,2612616,0
1.2.179,0,1717589,1664346,4099605,2201171,2201171,1890197,2244298,2616297,0
1.2.180,0,1705295,1660243,3952173,2219824,2219824,1849027,2228458,2595066,0
1.2.181,0,1709398,1664337,3952293,3477357,3477357,1853922,2233274,2600308,0
1.2.182,0,1680727,1635676,3902621,2227058,2227059,1824983,2203302,2562387,0
1.2.183,0,1684815,1643862,3919069,2224087,2224087,1827518,2202140,2558347,0
1.2.184,0,1688911,1643856,3902738,2225591,2225589,1828497,2202471,2559595,0
1.2.185,0,1701201,1660243,3936135,2226683,2226683,1840156,2231271,2590955,0
1.2.186,0,1701192,1664339,3936138,2228367,2228367,1841365,2232798,2592023,0
1.2.187,0,1701199,1664348,3936138,2229301,2229302,1841612,2232901,2592234,0
1.2.188,0,1693007,1652054,3903202,2211340,2211340,1832963,2222563,2579291,0
1.2.189,0,1697102,1656151,3919762,2217192,2217192,1837336,2227505,2586530,0
1.2.190,0,1697105,1660252,3936217,2222184,2222184,1839453,2232894,2588874,0
1.2.191,0,1701207,1664337,3936337,2226956,2226955,1839068,2236151,2592502,0
1.2.192,0,1705288,1664339,3936400,2229571,2229571,1840895,2239236,2594820,0
1.3.0,1311415,1701201,1664339,3936292,2226882,2226882,1839416,2251344,2611718,0
1.3.1,1325539,1709400,1668433,3936608,2232602,2232602,1843884,2256104,2616751,0
1.3.2,1325721,1709391,1668435,3936616,2232959,2232959,1844075,2256226,2617231,0
1.3.3,1325721,1709391,1668435,3936616,2232959,2232959,1844075,2256226,2617231,0
1.3.4,1308359,1688918,1643864,3903803,2209528,2209528,1820900,2227513,2583570,0
1.3.5,1310633,1717596,1680739,4003480,2215907,2215907,1872079,2234894,2622010,0
1.3.6,1310633,1725791,1688919,4003480,2226145,2226145,1886697,2274835,2662573,0
1.3.7,1305877,1733979,1693015,4053138,2237375,2237375,1889606,2279130,2670770,0
1.4.0,1295418,1725782,1684833,4020387,2223981,2223981,1881450,2257772,2643957,0
1.4.1,1298827,1729886,1688920,4036932,2231360,2231360,1886200,2263148,2649248,0
1.4.2,1306701,1738079,1697123,4053364,2241220,2241220,1894791,2271528,2661271,0
1.4.3,1309689,1746261,1713504,4069884,2247205,2247206,1898977,2276062,2666082,0
1.4.4,1314949,1750314,1721644,3578569,2260640,2260640,1905247,2295685,2689260,0
1.4.5,1313123,1733930,1701164,3578631,2256360,2256360,1885803,2275965,2667344,0
1.4.6,1317318,1738026,1709356,3595103,2268666,2268667,1890666,2281471,2672954,0
1.4.7,1320502,1746218,1721644,3595119,2271732,2271732,1892687,2283840,2675117,3208519
1.4.8,1329218,1754410,1733932,3611875,1344415,964545,1902172,2293442,2687490,3225067
1.5.0,1339199,1766698,1750316,3644874,1355133,971917,1915733,2312242,2712942,3258386
1.6.0,1317645,1746218,1729836,3628981,1351567,968334,1895454,2292419,2694193,3258861
1.6.1,1319012,1750314,1733932,3629485,1346642,962396,1897939,2297380,2699303,3259373
1.6.2,1321164,1754410,1733932,3647229,1347477,962770,1902112,2317662,2727354,3260717
1.6.3,1326119,1758506,1742124,3647353,1354332,967108,1908050,2324926,2738152,3277329
1.6.4,1344908,1778986,1758508,3697041,1374597,981042,1929574,2346697,2763469,3310945
1.7.0,1351159,1787178,1770796,3713521,1383795,986440,1937267,2356314,2775164,3327537
1.8.0,1344643,1799466,1783084,3697201,1414710,1033877,1948337,2367135,2789744,3312897
1.8.1,1346975,1803562,1787180,3697377,1418640,1037326,1952160,2370898,2795117,3313065
1.9.0,1357163,1815850,1799468,3845113,1425926,1041757,1961881,2380784,2805620,3474337
1.9.1,1361782,1819946,1803564,3852977,1429217,1043971,1964855,2382964,2808789,3490545
1.9.2,1375761,1832234,1815852,3849693,1434086,1047536,1975042,2427588,2857904,3491141
1.9.3,1377701,1832234,1815852,3849745,1435504,1048396,1976636,2428057,2858941,3491209
1.9.4,1396325,1852714,1840428,3903801,1442770,1047320,1998650,2453272,2888976,3525049
1.9.5,1395866,1856810,1840428,3908023,1444022,1048360,2000146,2454121,2890311,3525175
1.9.6,1402198,1856810,1840428,3904559,1449431,1052964,1996883,2209294,2638902,3525799
1.9.7,1389380,1865002,1852716,3888208,1459741,1060663,2153418,2226936,2656842,3407008
1.9.8,1396550,1873194,1860908,3904719,1469982,1066779,2162410,2232197,2666100,3423639
1.10.0,1406427,1885482,1873196,8071281,1474534,1070766,2171665,2244439,2686095,7167705
1.10.1,1465240,1942826,1930540,8145227,1539076,1127986,2235780,2306343,2746970,7233955
1.10.2,1475975,1955114,1946924,8174086,1546044,1135634,2251940,2317467,2762661,7250686
1.10.3,1475848,1959210,1951020,8178224,1546867,1136488,2253383,2317877,2763540,7250704
1.10.4,1470349,1958461,1944910,8190808,1547335,1140535,2270469,2332502,2775529,7250984
1.11.0,1470584,1957303,1944706,8186976,1546237,1139066,2269918,2331525,2775088,7251272
1.11.1,1476645,1966325,1957364,8203539,1551912,1144325,2277888,2340230,2784035,7267932
1.11.2,1478118,1968886,1961028,8211799,1553949,1145811,2281906,2342847,2786758,7284472
1.12.0,1492624,1983186,1971500,7534560,1571339,1157990,2301731,2357289,2805905,6710679
1.12.1,1496245,1980849,1971161,8207398,1576490,1162679,2294296,2348777,2794018,7283469
1.12.2-beta,1501836,1989950,1979827,8227741,1583076,1167088,2301862,2357602,2806002,7299805
1.12.3-alpha,1501819,1989811,1979820,8223645,1583061,1167073,2301968,2357615,2806035,7299805
