symbol_group_name,vmsize,filesize
dmScript,638509,152587
dmGameSystem,480724,658927
[section .rodata],387731,387731
dmGraphics,214055,285274
_mbedtls_* (library),164491,207160
(anonymous namespace),131132,203261
dmGui,122264,157982
dmCrash,117110,14966
dmGameObject,110384,157052
dmRender,108507,154713
basist,95700,97707
_compress_* (library),88343,90546
std,87399,98161
_pfb,65536,66529
dmHashTable<>,53856,67306
dmPhysics,40704,61723
dmParticle,37593,47689
_cf_* (library),33336,44653
dmResource,29208,41338
dmSound,23781,31144
[section .rela.dyn],22464,22464
dmRig,22228,27187
_decompress_* (library),21808,23078
dmEngine,19414,23845
_GLOBAL_* (library),18064,25098
_load_* (library),17900,18204
libunwind,17865,20942
btCollisionWorld,17309,24338
_psa_* (library),17116,22716
btDiscreteDynamicsWorld,16804,22563
vwin8192,16384,16801
__cxxabiv1,16360,26632
_lua_* (library),16342,22428
[section .rela.plt],16224,16224
dmDDF,15272,23589
btQuantizedBvh,15192,17842
btSequentialImpulseConstraintSolver,15044,18447
dmInput,13445,14453
_lib_* (library),12241,16080
dmHID,11657,18207
_strfmt_* (library),11476,12783
dmEasing,10856,11039
_internal_* (library),10852,11191
[section .plt],10848,10848
dmObjectPool<>,10492,13468
b2World,10260,11703
[section .dynsym],9384,9384
gjkepa2_impl,9340,10957
_luaL_* (library),9265,12238
[section .hash],9176,9176
dmHttpClient,8960,11738
b2DynamicTree,8604,10275
dmSoundCodec,8582,12928
btAxisSweep3Internal<>,8448,11334
_get_* (library),8248,10727
vwin4096,8192,18221
_mz_* (library),7988,9122
dmHttpCache,7780,9451
_BC_* (library),7752,11705
_Register_* (library),7521,13111
_cxa_* (library),7230,9370
dmSocket,6832,10047
btIDebugDraw,6816,8032
_ctype_* (library),6652,7886
dmConfigFile,6628,8071
dmBuffer,6520,8745
_decl_* (library),6412,7009
_alloc_* (library),6384,6876
_tinfl_* (library),6363,6888
dmSys,6338,8640
_create_* (library),6208,6331
_zip_* (library),6160,6852
dmConnectionPool,6128,7795
[section .got],5992,5992
[section .gnu.hash],5836,5836
_parse_* (library),5804,6542
b2ContactSolver,5736,6701
b2PrismaticJoint,5640,7884
dmPlatform,5576,18276
dmHttpService,5572,7212
[section .dynstr],5504,5504
btRigidBody,5448,7982
[section .got.plt],5432,5432
btHashedOverlappingPairCache,5300,9022
_tls13_* (library),5064,6453
btConvexConvexAlgorithm,5052,6693
_meta_* (library),5044,5995
_process_* (library),5024,5273
b2GearJoint,5004,6240
dmResourceMounts,5004,6843
dBoxBox2(),4988,5243
_book_* (library),4907,5518
dmMessage,4860,7051
b2RevoluteJoint,4860,6965
_NodeDesc_* (library),4781,8356
_debug_* (library),4768,5558
b2Body,4672,5919
btDbvtBroadphase,4564,6607
_tab_* (library),4484,5547
_cconv_* (library),4456,4995
btVoronoiSimplexSolver,4420,5541
dmArray<>,4396,6396
_append_* (library),4396,4863
btDbvt,4332,6051
btBvhTriangleMeshShape,4320,7139
_ShaderDesc_* (library),4314,6653
dmLiveUpdate,4260,6181
btCompoundShape,4252,5947
_do_* (library),4196,4281
GetGlyphTTF(),4188,4315
btCompoundCollisionAlgorithm,4164,6272
sincos_lookup0,4143,4230
b2GridShape,4140,6037
sincos_lookup1,4135,4252
vwin2048,4096,4153
_T_* (library),4096,10344
init_gl,4088,4144
_SceneDesc_* (library),4039,7613
_ffh_* (library),4016,5920
dmDeviceOpenSL,4004,5107
btMinkowskiPenetrationDepthSolver,4000,5033
parse_chunk,3920,4004
_err_* (library),3916,5483
b2WheelJoint,3856,5476
btBoxShape,3804,5701
dmLog,3772,4739
_ff_* (library),3740,7368
