symbol_group_name,vmsize,filesize
dmScript,637905,151423
dmGameSystem,431574,596486
[section .rodata],360819,360819
_mbedtls_* (library),164343,207300
(anonymous namespace),131132,203082
dmGraphics,125349,165237
dmGui,123844,159852
dmCrash,114086,13285
dmRender,111909,157632
dmGameObject,110292,157627
basist,95700,97621
_compress_* (library),88343,90474
std,87399,97951
_pfb,65536,75654
dmHashTable<>,52272,65497
dmPhysics,40712,61580
_GLOBAL_* (library),39932,46699
dmParticle,37593,47642
_cf_* (library),33336,44797
dmResource,31684,44817
dmSound,23781,31216
_decompress_* (library),21808,23078
dmRig,20540,25344
[section .rela.dyn],20112,20112
dmEngine,19510,23910
_load_* (library),17900,18149
libunwind,17865,21014
btCollisionWorld,17309,24434
_psa_* (library),17116,22685
btDiscreteDynamicsWorld,16804,22502
vwin8192,16384,16609
__cxxabiv1,16360,26529
_lua_* (library),16342,22579
[section .rela.plt],16176,16176
dmDDF,15692,24386
btQuantizedBvh,15192,18089
btSequentialImpulseConstraintSolver,15044,18807
dmLiveUpdate,14476,18982
dmInput,13213,14293
_lib_* (library),12241,15960
_strfmt_* (library),11476,12711
dmEasing,10856,11039
_internal_* (library),10852,11239
[section .plt],10816,10816
dmHID,10724,16511
dmObjectPool<>,10492,13492
b2World,10260,11631
dmResourceMounts,9580,12581
gjkepa2_impl,9340,10885
[section .dynsym],9336,9336
_luaL_* (library),9265,12441
[section .hash],9160,9160
dmHttpClient,8960,11738
dmSoundCodec,8582,12904
btAxisSweep3Internal<>,8448,11255
_get_* (library),8248,10703
vwin4096,8192,8273
_mz_* (library),7988,9098
dmHttpCache,7797,9588
_BC_* (library),7752,11681
_cxa_* (library),7230,9351
dmSocket,6832,10095
btIDebugDraw,6816,8080
b2DynamicTree,6804,8029
_ctype_* (library),6652,7838
dmConfigFile,6628,8047
dmBuffer,6520,8745
_decl_* (library),6412,6985
_alloc_* (library),6384,6828
_tinfl_* (library),6363,6881
dmSys,6338,8736
_create_* (library),6208,6307
_zip_* (library),6160,6852
dmConnectionPool,6128,7819
[section .gnu.hash],5836,5836
_parse_* (library),5804,6518
b2ContactSolver,5736,6732
b2PrismaticJoint,5596,7739
dmHttpService,5572,7212
[section .dynstr],5485,5485
dmPlatform,5460,17909
btRigidBody,5448,7862
[section .got.plt],5416,5416
btHashedOverlappingPairCache,5300,9022
[section .got],5240,5240
_tls13_* (library),5064,6477
btConvexConvexAlgorithm,5052,6693
_meta_* (library),5044,6043
_process_* (library),5024,5273
dBoxBox2(),4988,5219
_book_* (library),4907,5470
dmMessage,4860,7075
b2GearJoint,4848,5979
b2RevoluteJoint,4816,6905
_debug_* (library),4768,5630
_NodeDesc_* (library),4741,8340
b2Body,4672,5895
btDbvtBroadphase,4564,6637
_tab_* (library),4484,5547
_cconv_* (library),4456,4995
btVoronoiSimplexSolver,4420,5589
dmArray<>,4396,6396
_append_* (library),4396,4887
btDbvt,4332,5955
btBvhTriangleMeshShape,4320,7235
btCompoundShape,4236,5931
_do_* (library),4196,4305
GetGlyphTTF(),4188,4291
btCompoundCollisionAlgorithm,4164,6200
sincos_lookup0,4143,4278
b2GridShape,4140,6013
sincos_lookup1,4135,4174
vwin2048,4096,4201
_T_* (library),4096,10344
init_gl,4088,4144
_ShaderDesc_* (library),4074,6489
dmResourceProviderArchiveMutable,4064,5532
_ffh_* (library),4016,5944
dmDeviceOpenSL,4004,5107
btMinkowskiPenetrationDepthSolver,4000,5057
parse_chunk,3920,3980
_err_* (library),3916,5507
b2WheelJoint,3812,5395
btBoxShape,3804,5701
dmLog,3772,4811
_ff_* (library),3740,7368
mdct_backward,3738,3800
_SceneDesc_* (library),3679,7354
_expr_* (library),3668,4064
_info_* (library),3631,4226
lex_scan,3536,3617
btConvexConcaveCollisionAlgorithm,3480,6168
dmResourceArchive,3456,5093
btConvexPlaneCollisionAlgorithm,3392,5143
_carith_* (library),3388,3711
b2Island,3368,3852
btCapsuleShape,3356,4624
_MaterialDesc_* (library),3348,5291
b2WeldJoint,3320,4331
