symbol_group_name,vmsize,filesize
dmScript,639361,153217
dmGameSystem,587348,810255
[section .rodata],413292,413292
dmGraphics,227316,299090
_mbedtls_* (library),180643,223336
(anonymous namespace),131132,203208
dmGui,124884,161463
dmCrash,117098,15026
basist,113572,113994
dmGameObject,113196,160596
dmRender,109501,155493
_compress_* (library),88447,91254
std,87495,98413
_pfb,65536,66313
dmHashTable<>,58516,73654
dmPhysics,42684,63718
dmParticle,37765,47933
_cf_* (library),33036,44409
dmResource,28844,41163
dmSound,25025,32452
[section .rela.dyn],23160,23160
btConvexHullInternal,23136,25069
dmRig,22320,27323
_decompress_* (library),21732,23170
btSequentialImpulseConstraintSolver,21532,26034
btCollisionWorld,20589,30104
_load_* (library),19824,20193
dmEngine,19798,24459
btDiscreteDynamicsWorld,19352,24563
_psa_* (library),19240,24430
_GLOBAL_* (library),18604,25753
dmInput,18417,19751
libunwind,17865,21004
btConeTwistConstraint,17228,19410
dmDDF,16932,25451
[section .rela.plt],16440,16440
vwin8192,16384,16801
__cxxabiv1,16360,26409
_lua_* (library),16342,22361
btGeneric6DofSpring2Constraint,13968,17601
dmHID,12404,19213
_lib_* (library),11978,15506
_strfmt_* (library),11476,12735
btIDebugDraw,11324,13257
btHingeConstraint,11000,13123
[section .plt],10992,10992
dmEasing,10856,11111
_internal_* (library),10588,10903
dmObjectPool<>,10492,13420
b2World,10260,11631
btGeneric6DofConstraint,10032,13180
gjkepa2_impl,9736,11371
[section .dynsym],9624,9624
_luaL_* (library),9265,12323
[section .hash],9248,9248
dmHttpClient,8976,11881
dmHttpService,8768,11401
btAxisSweep3Internal<>,8612,11395
b2DynamicTree,8604,10179
FontSDFGenerate(),8584,8803
dmSoundCodec,8582,12952
btRigidBody,8384,11019
vwin4096,8192,8417
btSliderConstraint,8132,9830
dmHttpCache,7805,9753
_BC_* (library),7752,11705
_Register_* (library),7682,13578
btAlignedObjectArray<>,7540,9865
_get_* (library),7468,9637
_cxa_* (library),7230,9316
_mz_* (library),7108,8168
btConvexConvexAlgorithm,7008,9664
dmSocket,6956,10464
btDbvt,6840,8873
dmConfigFile,6652,8023
_ctype_* (library),6652,7910
_zip_* (library),6488,7280
_tinfl_* (library),6459,7142
_decl_* (library),6412,7009
dmSys,6398,8927
_alloc_* (library),6384,6852
