symbol_group_name,vmsize,filesize
dmSSLSocket,2624,3280
TextLayoutHitTestObject(),2604,2768
b2FrictionJoint,2552,4007
btCapsuleShape,2536,3860
_FontMap_* (library),2524,4771
TextLayoutGetGlyphRenderData(),2496,2627
_packetout,2496,2555
b2MouseJoint,2488,4201
btContinuousConvexCollision,2484,3491
_pcm_* (library),2442,2688
InplaceSolverIslandCallback,2404,3051
ApplyStyleNode(),2392,2506
btTypedConstraint,2392,3038
CreateEffect(),2376,2484
btCollisionObject,2368,3718
_cdata_* (library),2356,2855
b2Contact,2337,2430
btDefaultCollisionConfiguration,2336,3391
_str_* (library),2328,2822
dmLoadQueue,2328,3201
[section .gnu.version],2318,2318
_loadf_* (library),2288,2431
_ccall_* (library),2288,2443
_make_* (library),2288,2506
btConvexInternalShape,2268,3676
dmResourceProviderArchive,2264,3522
SphereTriangleDetector,2244,3014
_file_* (library),2240,2674
btQuantizedBvhTree,2224,2901
dmResourceArchive,2208,3103
_x509_* (library),2204,2373
_ccallback_* (library),2204,2545
FontGetLayoutVertexMetrics(),2192,2347
btManifoldResult,2188,3693
init_gl,2184,2240
_sig_* (library),2176,2354
btGeometryUtil,2140,2418
basisu,2137,2803
_stream_* (library),2114,2964
_optimize_* (library),2064,2141
vwin1024,2048,2129
_glfwAndroidHandleInput,2036,2108
btPolyhedralConvexAabbCachingShape,2020,2835
_vm_* (library),2008,3865
btSubsimplexConvexCast,1992,2545
_FontDesc_* (library),1990,3746
dmOpaqueHandleContainer<>,1988,2986
glfwAndroidDiscoverJoysticks,1984,2061
b2ChainShape,1976,3294
res_inverse,1968,2028
_next_* (library),1940,2147
_cipher_* (library),1940,2117
fs_finish,1916,1974
serialize_put,1900,1962
_entry_* (library),1896,2583
_vorbis_* (library),1892,2100
gridRaycast<>(),1884,2216
btHinge2Constraint,1880,2247
dmZip,1868,3551
_jpeg_* (library),1851,2287
btUniversalConstraint,1832,2213
btGjkEpaSolver2,1828,2119
_resample_* (library),1828,2193
_dispatch_* (library),1820,2173
btBU_Simplex1to4,1816,3022
FontPackDecorationVertices(),1792,1950
b2Distance(),1788,1906
_raw_* (library),1785,2092
_app_* (library),1780,2237
btCompoundLeafCallback,1748,2145
_compressHC_* (library),1747,2274
btCompoundCompoundLeafCallback,1740,2023
_strscan_* (library),1736,1929
_Matrix4_* (library),1736,3133
b2BlockAllocator,1730,1748
btPrimitiveTriangle,1728,2073
b2Simplex,1724,2094
_double_* (library),1700,1830
btSphereShape,1692,2666
_com_* (library),1691,2680
_lsp_* (library),1676,1768
_TextureImage_* (library),1676,2489
_global_* (library),1672,2072
_VertexAttribute_* (library),1670,3162
JNIAndroidSetCommandLine,1668,1741
btTriangleShapeEx,1652,1933
TextLayoutInitializeDecorationGeometry(),1648,1776
btConvexTriangleCallback,1648,2232
_TextureSet_* (library),1641,2138
btSphereSphereCollisionAlgorithm,1620,3223
_gc_* (library),1616,2259
btTriangleIndexVertexArray,1608,3232
_find_* (library),1604,1832
_Mesh_* (library),1591,1985
dmSysPosix,1576,2796
secp256r1_T,1560,1644
bcwrite_proto,1556,1618
_LOOKUP_* (library),1548,1666
_LabelDesc_* (library),1544,2492
_scalar_* (library),1544,1979
dmResourceProvider,1544,3262
FontPackGlyphVertices(),1540,1664
_ct_* (library),1536,1667
[section .bss],1529,0
dmImage,1504,1847
strscan_dec,1496,1556
_CollisionObjectDesc_* (library),1490,2808
tcp_methods,1488,1620
btNullPairCache,1488,3659
b2BroadPhase,1488,2256
_TileSet_* (library),1487,2706
dmIntersection,1484,2030
cpcparser,1472,1530
_CollisionShape_* (library),1470,2198
SelectCmap(),1468,1597
btSphereTriangleCollisionAlgorithm,1464,3069
FindBernsteinRoots(),1444,1578
serialize_get,1444,1506
_bcread_* (library),1440,1504
expr_table,1428,1487
glfwAndroidUpdateJoystick,1424,1498
btBoxBoxCollisionAlgorithm,1420,2927
dmBlockAllocator,1408,1780
dmHashFinal64,1394,1480
btVec3PointTriDist2(),1392,1488
b2ContactManager,1388,1855
dmHashFinal32,1386,1448
_CompiledStyle_* (library),1380,1899
JobSystemUpdate,1376,1512
_fetch_* (library),1348,1485
b2TimeOfImpact(),1328,1423
[section .data.rel.ro],1328,1328
btTransformUtil,1328,1578
_ov_* (library),1324,1440
_func_* (library),1324,1770
optset,1312,1463
dmVMath,1312,1528
RefreshDecorations(),1300,1409
glfwOpenWindow,1300,1363
_name_* (library),1300,1431
SegmentsIntersect(),1288,1381
gc_onestep,1288,1347
Vectormath,1288,1479
_time_* (library),1286,1536
_clib_* (library),1284,1597
dmHashUpdateBuffer64,1281,1398
FontOutlineMakeYMonotonic(),1280,1372
_use_* (library),1280,1344
dmFileDescriptor,1272,1923
dmExtension,1268,2057
dmHashUpdateBuffer32,1265,1358
gcm_mask,1264,1345
b2CollidePolygons(),1248,1370
DebugDrawcallback,1248,1967
b2Joint,1248,1845
btDoSimplex3(),1240,1352
_lex_* (library),1240,1675
