filename,compressed,uncompressed
JDK,62270365,62270365
libexec/bundletool-all.jar,30633323,32505571
com/sun/*.*,8553132,21136696
clojure/*.*,7001086,15522621
lib/android.jar,10833398,14664759
com/ibm/*.*,6146730,13876950
libexec/arm64-macos/tint,3098127,13170497
editor/gui,5525812,11679813
com/dynamo/*.*,4201043,11245685
_unpack/arm64-macos/bin/dmengine,3978633,11216464
libexec/x86_64-win32/dmengine.exe,4131597,11211592
lib/arm64-linux/libfontc_shared.so,3460424,10436592
lib/x86_64-linux/libfontc_shared.so,3481895,10322376
libexec/x86_64-win32/dmengine_release.exe,3418004,9570120
libexec/x86_64-macos/dmengine,3973301,9202672
libexec/x86_64-macos/dmengine_release,3324493,8005888
libexec/arm64-macos/dmengine,3436826,7861120
lib/x86_64-linux/libtexc_shared.so,3250798,7716824
javafx/*.*,3438482,7629541
lib/arm64-linux/libtexc_shared.so,3212093,7606720
lib/x86_64-win32/shaderc_shared.dll,1800655,7427912
libexec/x86_64-linux/dmengine,3291697,7055440
libexec/arm64-macos/dmengine_release,2861533,6930496
libexec/arm64-macos/aapt2,2512489,6576384
lib/x86_64-linux/libc++.so,1498484,6457600
org/eclipse/jgit/*.*,2849222,6440142
libexec/arm64-linux/dmengine,3037668,6148744
libexec/arm64-macos/glslang,1931282,5728808
libexec/x86_64-android/libdmengine.so,2704086,5617592
libexec/x86_64-linux/dmengine_release,2527112,5479168
libexec/arm64-macos/gltf_validator,2099272,5322928
com/jogamp/*.*,2060879,5301844
libexec/x86_64-android/libdmengine_release.so,2300941,5016488
libexec/arm64-linux/dmengine_release,2348639,5012800
libexec/arm64-android/libdmengine.so,2508266,5009920
jogamp/*.*,1994042,5001762
lib/x86_64-linux/libshaderc_shared.so,1710544,4927136
com/google/protobuf/*.*,1609592,4625316
lib/arm64-linux/libshaderc_shared.so,1596237,4531000
lib/x86_64-win32/texc_shared.dll,1551412,4460872
libexec/arm64-android/libdmengine_release.so,2111406,4422800
libexec/arm64-macos/lipo,2379510,4385842
org/apache/commons/*.*,1826544,4341676
libexec/x86_64-ios/dmengine,2120557,4244688
com/fasterxml/jackson/*.*,1401584,3932759
lib/x86_64-win32/fontc_shared.dll,1016183,3926856
lib/x86_64-macos/libshaderc_shared.dylib,1211372,3898624
libexec/arm64-ios/dmengine,1880962,3711064
libexec/x86_64-ios/dmengine_release,1732481,3668800
lib/arm64-macos/libshaderc_shared.dylib,1092487,3594656
libexec/arm64-macos/spirv-opt,1187349,3537752
libexec/arm64-macos/strip_android,1244984,3351184
cljfx/*.*,1600562,3332456
libexec/wasm_pthread-web/dmengine.wasm,1458962,3240353
libexec/wasm-web/dmengine.wasm,1451250,3219009
com/amazonaws/*.*,1271062,3207351
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
libexec/arm64-ios/dmengine_release,1501642,3135400
editor/code/view,1516688,3091431
editor/app_view,1407474,2843952
libexec/wasm_pthread-web/dmengine_release.wasm,1128418,2767187
libexec/wasm-web/dmengine_release.wasm,1122957,2747253
libexec/arm64-android/libvkquality.so,718713,2732376
org/eclipse/jetty/*.*,1135632,2573055
editor/particlefx,1196697,2549498
libexec/x86_64-android/libvkquality.so,702776,2542240
_unpack/arm64-macos/bin/lsp/lua/meta/default utf8/UnityEngine.lua,282601,2521240
org/apache/http/*.*,1036821,2397569
editor/scene,1137050,2341078
org/codehaus/jackson/*.*,857085,2288635
lib/x86_64-macos/libtexc_shared.dylib,964719,2276048
