symbol_group_name,vmsize,filesize
dmScript,632973,140937
dmGameSystem,461417,618438
[section .rodata],376421,376421
dmGraphics,245036,330064
_mbedtls_* (library),175074,213217
basist,118172,116078
dmCrash,112130,11618
dmGui,111612,145144
dmGameObject,109688,152120
dmRender,103301,144423
_compress_* (library),97191,98574
[section .rel.dyn],69600,69600
_pfb,65536,65561
std,60458,77534
[section .ARM.exidx],57344,57344
dmHashTable<>,54548,67436
(anonymous namespace),45192,104175
dmParticle,39381,48880
dmPhysics,37456,55396
dmResource,29784,40521
dmSound,25893,32864
_GLOBAL_* (library),23720,30440
dmRig,21668,26296
dmEngine,21578,26218
_decompress_* (library),20572,21626
_load_* (library),17288,17993
btCollisionWorld,17197,23754
_cf_* (library),17184,26421
_psa_* (library),17100,21444
vwin8192,16384,16409
dmInput,15633,16543
btQuantizedBvh,15568,18050
btSequentialImpulseConstraintSolver,14840,17943
_internal_* (library),14804,15087
btDiscreteDynamicsWorld,14656,19682
dmDDF,14112,21737
[section .ARM.extab],13764,13764
[section .plt],11808,11808
dmHID,11344,17014
dmEasing,10856,10983
b2World,10688,12051
dmObjectPool<>,10532,13388
gjkepa2_impl,9688,11153
[section .hash],9600,9600
dmHttpClient,9168,11754
dmHttpService,8896,11073
dmHttpCache,8797,10513
_lua_* (library),8686,13215
b2DynamicTree,8396,9875
vwin4096,8192,8217
dmSoundCodec,7990,11788
_strfmt_* (library),7954,9046
_BC_* (library),7892,10850
_get_* (library),7550,9451
dmSocket,7496,10575
_mz_* (library),7456,8348
__cxxabiv1,7398,17522
btIDebugDraw,7328,8416
_zip_* (library),7160,7853
_tinfl_* (library),7091,7507
btAxisSweep3Internal<>,6836,9147
[section .dynsym],6480,6480
_parse_* (library),6216,7002
[section .gnu.hash],6116,6116
[section .text],6093,6093
dmConfigFile,6044,7327
dmBuffer,6044,8209
[section .rel.plt],5888,5888
dmSys,5886,7996
dmConnectionPool,5856,7459
[section .dynstr],5776,5776
init_gl,5444,5980
b2ContactSolver,5400,6309
_process_* (library),5264,5545
_create_* (library),5216,5475
b2PrismaticJoint,5144,6983
dBoxBox2(),5140,5347
_luaL_* (library),5065,7398
btRigidBody,4972,7074
dmMessage,4964,6847
btConvexConvexAlgorithm,4872,6369
_lib_* (library),4862,7071
GetGlyphTTF(),4796,5091
_do_* (library),4796,5009
b2Body,4728,5855
libunwind,4677,7123
btMinkowskiPenetrationDepthSolver,4616,5469
_tls13_* (library),4531,5484
dmResourceMounts,4528,6199
btVoronoiSimplexSolver,4360,5465
b2GearJoint,4300,5312
dmLog,4260,5166
_append_* (library),4252,4703
_alloc_* (library),4242,4574
dmDeviceOpenSL,4208,5309
_ctype_* (library),4136,5074
dmArray<>,4112,6192
sincos_lookup0,4104,4135
sincos_lookup1,4096,4127
vwin2048,4096,4121
_T_* (library),4096,7224
dmLiveUpdate,4084,5913
b2RevoluteJoint,4072,5865
_decl_* (library),4058,4599
dmPlatform,4052,13174
_Unwind_* (library),4036,4911
_book_* (library),4034,4412
btDbvt,3860,5115
b2GridShape,3848,5521
btDbvtBroadphase,3844,5655
_ff_* (library),3800,6524
_mod_* (library),3772,3907
_cxa_* (library),3764,5609
b2EPCollider,3756,4101
btHashedOverlappingPairCache,3700,7030
b2Island,3592,4092
_mul_* (library),3528,3605
btCompoundCollisionAlgorithm,3524,5288
_pcm_* (library),3522,3704
btCompoundShape,3460,4915
b2SeparationFunction,3380,3774
dmResourceProviderZip,3344,4339
b2WheelJoint,3292,4664
_meth_* (library),3204,3773
_info_* (library),3191,3642
_debug_* (library),3180,3944
btGjkPairDetector,3100,4296
btBvhTriangleMeshShape,3092,5655
_key_* (library),3081,3623
b2Fixture,3072,4028
_glfwAndroidHandleInput,3064,3232
_tdefl_* (library),3063,3524
_glfwJoy,3008,25
_meta_* (library),3008,3855
[section .got],3000,3000
_run_* (library),2980,3217
_sync_* (library),2969,3402
b2WeldJoint,2964,3839
[section .got.plt],2956,2956
_cconv_* (library),2928,3379
