filename,compressed,uncompressed
JDK,59297219,59297219
_unpack/x86_64-win32/bin/dmengine.pdb,13663070,43372544
libexec/bundletool-all.jar,30633323,32505571
com/sun/*.*,8445264,20769427
clojure/*.*,6992000,15504853
lib/android.jar,10833398,14664759
com/ibm/*.*,6146730,13876950
com/dynamo/*.*,4221751,11833693
editor/gui,5336338,11273988
libexec/x86_64-macos/dmengine,3855668,8854152
libexec/x86_64-win32/dmengine.exe,3283067,8721408
libexec/x86_64-macos/dmengine_release,3396761,8205568
libexec/arm64-macos/dmengine,3493434,7926928
libexec/x86_64-win32/dmengine_release.exe,2792235,7866368
javafx/*.*,3438482,7629541
libexec/arm64-macos/dmengine_release,3043174,7281720
lib/x86_64-linux/libtexc_shared.so,3015318,7246320
lib/arm64-linux/libtexc_shared.so,2993761,7183616
lib/x86_64-win32/shaderc_shared.dll,1635431,6902784
libexec/x86_64-win32/tint.exe,2674266,6782464
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-win32/aapt2.exe,2507372,5976728
libexec/x86_64-linux/dmengine,2743615,5619656
com/jogamp/*.*,2060879,5301844
jogamp/*.*,1994042,5001762
libexec/x86_64-linux/dmengine_release,2287725,4986648
libexec/arm64-linux/dmengine,2490468,4961136
lib/x86_64-linux/libshaderc_shared.so,1682197,4852712
libexec/arm64-android/libdmengine.so,2364544,4668576
libexec/x86_64-win32/lipo.exe,2597104,4655104
com/google/protobuf/*.*,1515935,4466162
lib/arm64-linux/libshaderc_shared.so,1566247,4460032
org/apache/commons/*.*,1826544,4341676
libexec/arm64-linux/dmengine_release,2037166,4329048
libexec/x86_64-win32/glslang.exe,1605427,4261888
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-android/libdmengine_release.so,1907369,4032104
libexec/x86_64-ios/dmengine,2075837,4006872
com/fasterxml/jackson/*.*,1401584,3932759
lib/x86_64-win32/texc_shared.dll,1327410,3763712
lib/x86_64-macos/libshaderc_shared.dylib,1125526,3581944
libexec/arm64-ios/dmengine,1871815,3573440
libexec/x86_64-ios/dmengine_release,1616301,3366040
cljfx/*.*,1568336,3267061
