filename,compressed,uncompressed
jfxwebkit.dll,31852784,83512832
JDK,58083658,58083658
_unpack/x86_64-win32/bin/dmengine.pdb,13514934,43257856
libexec/bundletool-all.jar,27327761,28992316
com/ibm/*.*,11528031,27028277
com/sun/*.*,8886096,21765809
clojure/*.*,6990878,15500501
lib/android.jar,10299057,13989417
com/dynamo/*.*,4669658,13235733
editor/gui,5090573,10786659
libexec/x86_64-macos/dmengine,3783053,8760096
libexec/x86_64-win32/dmengine.exe,3216166,8629760
libexec/x86_64-macos/dmengine_release,3349838,8156760
javafx/*.*,3546820,7848808
libexec/arm64-macos/dmengine,3420245,7828848
libexec/x86_64-win32/dmengine_release.exe,2749974,7826432
lib/x86_64-linux/libtexc_shared.so,3033383,7595520
libexec/arm64-macos/dmengine_release,2989148,7233352
lib/arm64-linux/libtexc_shared.so,2970308,7196240
libexec/x86_64-win32/tint.exe,2674266,6782464
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-linux/dmengine,2669656,5531576
libexec/x86_64-win32/aapt2.exe,2091345,5073920
libexec/x86_64-linux/dmengine_release,2239245,4935096
libexec/arm64-linux/dmengine,2414563,4881664
jogamp/*.*,1929728,4810278
libexec/x86_64-win32/lipo.exe,2597104,4655104
libexec/arm64-android/libdmengine.so,2309598,4577744
com/jogamp/*.*,1731591,4512782
com/google/protobuf/*.*,1515935,4466162
org/apache/commons/*.*,1825929,4341235
libexec/arm64-linux/dmengine_release,1983745,4280728
libexec/x86_64-win32/glslang.exe,1605427,4261888
org/eclipse/jgit/*.*,1849713,4164787
libexec/arm64-android/libdmengine_release.so,1870376,3970736
com/fasterxml/jackson/*.*,1401584,3932759
libexec/x86_64-ios/dmengine,2018797,3929304
org/antlr/*.*,1553198,3761420
libexec/arm64-ios/dmengine,1827967,3491968
lib/x86_64-win32/shaderc_shared.dll,982988,3483136
lib/x86_64-win32/texc_shared.dll,1298333,3426816
libexec/x86_64-ios/dmengine_release,1583932,3325456
lib/x86_64-linux/libshaderc_shared.so,1136302,3208720
com/amazonaws/*.*,1271062,3207351
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
lib/x86_64-macos/libtexc_shared.dylib,1221758,3137528
libexec/wasm_pthread-web/dmengine.wasm,1446939,3097285
libexec/x86_64-win32/spirv-opt.exe,1143360,3082752
libexec/wasm-web/dmengine.wasm,1444978,3077401
cljfx/*.*,1444408,3016470
lib/arm64-linux/libshaderc_shared.so,1073946,3014552
libexec/arm64-ios/dmengine_release,1400411,2900496
editor/code/view,1381140,2814617
lib/arm64-macos/libtexc_shared.dylib,1148841,2616104
org/eclipse/jetty/*.*,1135632,2573055
libexec/wasm_pthread-web/dmengine_release.wasm,1049298,2548281
libexec/wasm-web/dmengine_release.wasm,1044722,2529364
org/apache/http/*.*,1040887,2407275
editor/particlefx,1127385,2400994
org/codehaus/jackson/*.*,857085,2288635
editor/app_view,1133696,2271495
cognitect/*.*,653139,2242971
lib/x86_64-macos/libshaderc_shared.dylib,694977,2072000
editor/scene,1004142,2057609
Defold/Defold.exe,1838120,1838120
lib/arm64-macos/libshaderc_shared.dylib,618973,1816232
editor/collection,852082,1812323
lib/arm64-linux/libmodelc_shared.so,648931,1740856
lib/x86_64-linux/libmodelc_shared.so,640893,1700744
com/github/benmanes/caffeine/*.*,608969,1671617
editor/atlas,765460,1598277
editor/collision_object,732634,1578999
editor/tile_source,678463,1447380
ch/qos/*.*,650229,1442658
_unpack/x86_64-win32/bin/lsp/lua/meta/spell/dictionary.txt,636624,1415713
javassist/*.*,639452,1371253
_unpack/x86_64-win32/bin/lsp/lua/bin/lua-language-server.exe,592377,1357312
editor/tile_map,627336,1304478
schema/*.*,578231,1268249
lib/x86_64-win32/modelc_shared.dll,394289,1266688
editor/game_object,552901,1174863
editor/gui__init,130873,1064280
libexec/x86_64-win32/strip_android_aarch64.exe,487384,1060864
org/joda/*.*,493820,1046821
com/defold/*.*,363852,1036841
editor/font,483985,1027401
ucrtbase.dll,477912,1026088
gstreamer-lite.dll,466291,1004544
_unpack/x86_64-win32/lib/particle_shared.dll,324909,995328
libexec/x86_64-win32/luajit-64.exe,474624,946688
editor/ui,501762,929827
org/openmali/*.*,371153,900682
editor/app_manifest,407886,855984
lib/builtins.zip,829896,848323
editor/curve_view,388034,815932
libexec/x86_64-win32/strip_android.exe,386920,783872
editor/model,361117,759903
editor/code/data,385775,752053
META-INF/*.*,197756,736850
editor/sprite,343130,732122
org/jsoup/*.*,330403,705826
reitit/*.*,315958,676860
editor/defold_project,323845,663997
glib-lite.dll,266799,642048
editor/game_object_non_editable,288342,630699
org/luaj/*.*,290099,622154
org/jdom2/*.*,260354,613379
editor/debug_view,299494,612304
editor/code/script,290197,612181
welcome/*.*,560206,599510
msvcp140.dll,187676,578384
editor/cubemap,271167,576151
_unpack/x86_64-win32/bin/lsp/lua/bin/msvcp140.dll,185294,575056
editor/camera,276110,571771
editor/scene_tools,281766,570066
org/yaml/snakeyaml/*.*,248795,565020
editor/lsp,291830,564689
editor/mesh,269698,560998
editor/scene_visibility,270376,559731
editor/cljfx_form_view,271940,554244
lib/report_template.html,154755,547951
org/msgpack/*.*,237819,547298
editor/material,255429,539050
editor/label,251910,536098
editor/workspace,258124,532974
editor/asset_browser,266564,531750
net/jpountz/util/win32/amd64/liblz4-java.so,175313,520219
_unpack/x86_64-win32/lib/jogl_desktop.dll,123691,518144
org/stringtemplate/*.*,226179,507488
editor/sound,237411,504861
lib/x86_64-macos/libmodelc_shared.dylib,160512,503104
com/jcraft/*.*,253422,498410
builtins/input/default.gamepads,8240,494866
org/snakeyaml/engine/*.*,207355,494337
editor/code/transpilers,230701,488841
editor/settings,229256,483358
lib/arm64-macos/libmodelc_shared.dylib,139396,477224
editor/properties_view,231437,458669
editor/collection_non_editable,196313,432467
editor/console,199805,407326
editor/resource_node,189144,400767
editor/outline_view,195901,397960
editor/model_scene,162040,365138
editor/markdown,164407,362896
editor/render_pb,172205,359431
editor/editor_extensions/ui_components,176076,359139
internal/graph/*.*,170287,358347
editor/geom,178752,354598
editor/lsp/server,183229,354386
editor/fxui,151135,346075
editor/types,175955,344110
DejaVuSansMono.ttf,201912,340712
editor/buffer,163300,336111
editor/camera_editor,153895,333511
DejaVuSansMono-Bold.ttf,199505,331992
editor/protobuf,170419,330506
editor/display_profiles,152553,326271
org/commonmark/*.*,145480,325926
_unpack/x86_64-win32/bin/lsp/lua/bin/concrt140.dll,144283,322560
editor/code/resource,150503,316410
editor/code/shader,147932,314252
_unpack/x86_64-win32/lib/jogl_mobile.dll,88385,313344
editor/editor_extensions,152575,309466
editor/render_target,141659,304927
editor/resource,156574,300741
editor/core,147466,299816
editor/properties,154686,297988
lib/time_report_template.html,92651,297825
editor/script_api,139123,296944
SourceSansPro-Regular.ttf,129096,293956
SourceSansPro-Light.ttf,127919,292680
SourceSansPro-Semibold.ttf,128416,292404
editor/animation_set,135062,287654
builtins/assets/images/logo/logo_blue_1024.png,246149,276899
libexec/wasm-web/dmengine_release.js,63706,273443
libexec/wasm-web/dmengine.js,63699,273435
editor/factory,127379,272275
_unpack/x86_64-win32/bin/lsp/lua/bin/msvcp140_2.dll,106323,268880
