filename,compressed,uncompressed
jfxwebkit.dll,31852784,83512832
JDK,58083658,58083658
_unpack/x86_64-win32/bin/dmengine.pdb,13172180,42250240
libexec/bundletool-all.jar,27327761,28992316
com/ibm/*.*,11528031,27028277
com/sun/*.*,8886096,21765809
clojure/*.*,6990653,15505057
lib/android.jar,10299057,13989417
com/dynamo/*.*,4632391,13147245
editor/gui,5125115,10863688
libexec/x86_64-win32/dmengine.exe,3081970,8364544
javafx/*.*,3546820,7848808
libexec/x86_64-win32/dmengine_release.exe,2644524,7614464
lib/x86_64-linux/libtexc_shared.so,3023388,7548128
libexec/x86_64-win32/tint.exe,2674266,6782464
lib/x86_64-linux/libc++.so,1498484,6457600
libexec/x86_64-linux/dmengine,2550009,5338712
libexec/x86_64-win32/aapt2.exe,2091345,5073920
jogamp/*.*,1929728,4810278
libexec/x86_64-linux/dmengine_release,2141095,4779512
com/jogamp/*.*,1731591,4512782
com/google/protobuf/*.*,1515935,4466162
libexec/x86_64-macos/dmengine,2267213,4433464
libexec/arm64-android/libdmengine.so,2193099,4408472
org/apache/commons/*.*,1825929,4341235
libexec/x86_64-win32/glslang.exe,1605427,4261888
org/eclipse/jgit/*.*,1849713,4164787
libexec/x86_64-win32/lipo.exe,2258886,4015616
com/fasterxml/jackson/*.*,1401584,3932759
libexec/arm64-macos/dmengine,2044361,3919344
libexec/x86_64-macos/dmengine_release,1857250,3871008
libexec/arm64-android/libdmengine_release.so,1780588,3841824
org/antlr/*.*,1553198,3761420
libexec/x86_64-ios/dmengine,1907465,3756688
lib/x86_64-win32/shaderc_shared.dll,979255,3470848
lib/x86_64-win32/texc_shared.dll,1297979,3425792
libexec/arm64-macos/dmengine_release,1636054,3389800
libexec/arm64-ios/dmengine,1722368,3344200
com/amazonaws/*.*,1271062,3207351
libexec/x86_64-ios/dmengine_release,1494510,3189728
builtins/assets/images/logo/logo_blue_1024.bmp,184045,3147874
lib/x86_64-macos/libtexc_shared.dylib,1221077,3133848
lib/x86_64-linux/libshaderc_shared.so,1106815,3133144
libexec/x86_64-win32/spirv-opt.exe,1143360,3082752
cljfx/*.*,1405825,2940749
libexec/wasm-web/dmengine.wasm,1342703,2910035
libexec/arm64-ios/dmengine_release,1319191,2785520
lib/arm64-macos/libtexc_shared.dylib,1148219,2616648
org/eclipse/jetty/*.*,1135632,2573055
editor/code/view,1258497,2563988
libexec/wasm-web/dmengine_release.wasm,973845,2421742
org/apache/http/*.*,1040887,2407275
editor/particlefx,1117977,2381561
editor/app_view,1147249,2301367
org/codehaus/jackson/*.*,857085,2288635
cognitect/*.*,653198,2242890
lib/x86_64-macos/libshaderc_shared.dylib,691438,2052168
editor/scene,926282,1905203
Defold/Defold.exe,1834560,1834560
lib/arm64-macos/libshaderc_shared.dylib,615578,1808904
editor/collection,836470,1778632
lib/x86_64-linux/libmodelc_shared.so,633943,1679096
com/github/benmanes/caffeine/*.*,608969,1671617
editor/collision_object,682885,1472406
ch/qos/*.*,650229,1442658
editor/tile_source,668232,1425429
_unpack/x86_64-win32/bin/lsp/lua/meta/spell/dictionary.txt,636624,1415713
editor/atlas,663458,1386750
javassist/*.*,639452,1371253
_unpack/x86_64-win32/bin/lsp/lua/bin/lua-language-server.exe,592377,1357312
editor/tile_map,623270,1295051
schema/*.*,577656,1266387
lib/x86_64-win32/modelc_shared.dll,391905,1254400
editor/game_object,539946,1148114
editor/gui__init,130518,1062899
libexec/x86_64-win32/strip_android_aarch64.exe,487384,1060864
org/joda/*.*,493820,1046821
com/defold/*.*,361107,1031549
ucrtbase.dll,477912,1026088
gstreamer-lite.dll,466291,1004544
editor/font,470152,998159
_unpack/x86_64-win32/lib/particle_shared.dll,323578,993280
libexec/x86_64-win32/luajit-64.exe,474624,946688
editor/ui,494914,916137
org/openmali/*.*,371153,900682
lib/builtins.zip,826742,844694
editor/curve_view,387788,815504
libexec/x86_64-win32/strip_android.exe,386920,783872
libexec/x86_64-win32/luajit-32.exe,414356,758272
editor/model,354982,746633
editor/sprite,339728,724633
META-INF/*.*,193444,720877
editor/app_manifest,338499,712691
editor/code/data,364775,709274
org/jsoup/*.*,330403,705826
editor/debug_view,318568,646297
glib-lite.dll,266799,642048
editor/game_object_non_editable,293053,640995
org/luaj/*.*,290099,622154
org/jdom2/*.*,260354,613379
editor/code/script,283263,597585
welcome/*.*,557711,592862
editor/defold_project,286382,586386
msvcp140.dll,187676,578384
_unpack/x86_64-win32/bin/lsp/lua/bin/msvcp140.dll,185294,575056
editor/scene_tools,279106,567856
org/yaml/snakeyaml/*.*,248795,565020
editor/cubemap,263277,559358
editor/cljfx_form_view,272874,555920
lib/report_template.html,154755,547951
org/msgpack/*.*,237819,547298
editor/mesh,262868,546512
editor/camera,260872,539363
editor/scene_visibility,259033,536841
editor/asset_browser,264244,526988
editor/label,244828,521105
net/jpountz/util/win32/amd64/liblz4-java.so,175313,520219
_unpack/x86_64-win32/lib/jogl_desktop.dll,123691,518144
editor/workspace,247857,510396
org/stringtemplate/*.*,226179,507488
editor/material,236010,499018
com/jcraft/*.*,253422,498410
org/snakeyaml/engine/*.*,207355,494337
lib/x86_64-macos/libmodelc_shared.dylib,156707,488488
builtins/input/default.gamepads,7946,485502
editor/collection_non_editable,217058,477272
editor/sound,223520,475474
editor/code/transpilers,224048,474380
lib/arm64-macos/libmodelc_shared.dylib,136081,471512
editor/lsp,243138,471400
editor/settings,222242,468419
editor/console,199620,406383
editor/properties_view,196961,389344
editor/editor_extensions/ui_components,190331,388465
editor/outline_view,189592,385146
editor/resource_node,171883,364345
internal/graph/*.*,169975,357345
editor/geom,178671,354477
editor/model_scene,153411,347433
editor/render_pb,165052,344200
editor/types,175820,343721
DejaVuSansMono.ttf,201912,340712
DejaVuSansMono-Bold.ttf,199505,331992
org/commonmark/*.*,145480,325926
editor/protobuf,167981,325841
_unpack/x86_64-win32/bin/lsp/lua/bin/concrt140.dll,144283,322560
editor/code/shader,150859,321897
editor/buffer,156432,321563
editor/camera_editor,147000,318710
editor/bundle_dialog,146667,316428
_unpack/x86_64-win32/lib/jogl_mobile.dll,88385,313344
editor/display_profiles,145469,311113
editor/code/resource,143632,301506
editor/core,147439,299782
editor/properties,154447,297468
SourceSansPro-Regular.ttf,129096,293956
editor/lsp/server,150804,293224
SourceSansPro-Light.ttf,127919,292680
SourceSansPro-Semibold.ttf,128416,292404
editor/render_target,134825,290044
editor/script_api,132231,282215
lib/time_report_template.html,87432,278343
builtins/assets/images/logo/logo_blue_1024.png,246149,276899
editor/animation_set,128079,272692
_unpack/x86_64-win32/bin/lsp/lua/bin/msvcp140_2.dll,106323,268880
msvcp140_2.dll,105804,267160
editor/dialogs,133776,266727
editor/factory,124185,264849
glass.dll,109825,264192
libexec/wasm-web/dmengine_release.js,60929,264126
libexec/wasm-web/dmengine.js,60924,264118
editor/markdown,116791,260598
org/checkerframework/*.*,133894,258994
editor/resource,134204,258195
DejaVuSansMono-BoldOblique.ttf,151366,253580
DejaVuSansMono-Oblique.ttf,150034,251932
editor/editor_script,116567,251608
editor/search_results_view,122360,248480
editor/placeholder_resource,113607,248368
editor/fxui,100574,247494
editor/compute,116755,247287
editor/editor_extensions,119231,243042
